timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1663939819227,219,Go to basket,200,OK,User Journey 1-1,text,true,,482,272,5,5,http://localhost:3000/api/v1/booksApp/basket,218,0,0
1663939818955,515,Go to book's details,200,OK,User Journey 1-3,text,true,,774,296,5,5,http://localhost:3000/api/v1/booksApp/books/632d56d4c2d6451527d3ba7b,515,0,0
1663939819074,522,Go to book's details,200,OK,User Journey 1-5,text,true,,582,296,5,5,http://localhost:3000/api/v1/booksApp/books/632d56d4c2d6451527d3ba7c,522,0,0
1663939819227,520,Go to book's details,200,OK,User Journey 1-4,text,true,,646,298,5,5,http://localhost:3000/api/v1/booksApp/books/632d56d4c2d6451527d3ba7a,518,0,0
1663939819227,520,Go to basket,200,OK,User Journey 1-2,text,true,,482,276,5,5,http://localhost:3000/api/v1/booksApp/basket,518,0,0
1663939819448,520,Submit order,200,OK,User Journey 1-1,text,true,,342,339,5,5,http://localhost:3000/api/v1/booksApp/orders,520,0,0
1663939819471,516,Go to main page,200,OK,User Journey 1-3,text,true,,3977,271,5,5,http://localhost:3000/api/v1/booksApp/books,516,0,0
1663939819598,518,Go to main page,200,OK,User Journey 1-5,text,true,,3977,271,5,5,http://localhost:3000/api/v1/booksApp/books,517,0,0
1663939819750,519,Add the book to basket,200,OK,User Journey 1-4,text,true,,330,334,5,5,http://localhost:3000/api/v1/booksApp/basket,519,0,0
1663939819751,520,Submit order,200,OK,User Journey 1-2,text,true,,342,343,5,5,http://localhost:3000/api/v1/booksApp/orders,520,0,0
1663939819969,516,Go to main page,200,OK,User Journey 1-1,text,true,,3976,271,5,5,http://localhost:3000/api/v1/booksApp/books,513,0,0
1663939819991,512,Go to book's details,200,OK,User Journey 1-3,text,true,,582,296,5,5,http://localhost:3000/api/v1/booksApp/books/632d56d4c2d6451527d3ba7c,511,0,0
1663939820275,538,Go to basket,200,OK,User Journey 1-4,text,true,,482,274,5,5,http://localhost:3000/api/v1/booksApp/basket,536,0,0
1663939820275,538,Go to main page,200,OK,User Journey 1-2,text,true,,3976,275,5,5,http://localhost:3000/api/v1/booksApp/books,536,0,0
1663939820506,518,Add the book to basket,200,OK,User Journey 1-3,text,true,,330,332,5,5,http://localhost:3000/api/v1/booksApp/basket,516,0,0
1663939820493,531,Go to book's details,200,OK,User Journey 1-1,text,true,,669,296,5,5,http://localhost:3000/api/v1/booksApp/books/632d56d4c2d6451527d3ba81,529,0,0
